,Batchsize,Mean (BatchedMoments),Std (BatchedMoments),Mean (Naive),Std (Naive)
0,1,0.28604060219395405,0.353024249542621,0.28604063391685486,0.32024893164634705
1,2,0.2860406021939513,0.35302424954262357,0.28604063391685486,0.33706462383270264
2,4,0.28604060219395316,0.3530242495426231,0.28604063391685486,0.34527093172073364
3,8,0.28604060219395305,0.3530242495426244,0.28604063391685486,0.34918540716171265
4,16,0.2860406021939528,0.3530242495426238,0.28604060411453247,0.35109102725982666
5,32,0.2860406021939524,0.3530242495426242,0.28604063391685486,0.35208964347839355
6,64,0.28604060219395283,0.3530242495426245,0.28606116771698,0.3525732457637787
7,128,0.2860406021939526,0.3530242495426242,0.28605183959007263,0.3527790606021881
8,256,0.28604060219395316,0.3530242495426241,0.2860966920852661,0.3528965711593628
9,512,0.28604060219395283,0.3530242495426242,0.28618571162223816,0.35296350717544556
10,1024,0.28604060219395294,0.35302424954262407,0.28610852360725403,0.35302436351776123
11,2048,0.28604060219395294,0.3530242495426242,0.2862718403339386,0.3531193733215332
12,4096,0.28604060219395294,0.3530242495426241,0.28609198331832886,0.35303249955177307
13,8192,0.28604060219395294,0.3530242495426242,0.2862257957458496,0.3530733585357666
14,16384,0.2860406021939528,0.35302424954262407,0.28624922037124634,0.3531098961830139
15,32768,0.28604060219395294,0.3530242495426238,0.2860949635505676,0.35303229093551636
16,65536,0.28604060219395394,0.35302424954262396,0.28604018688201904,0.353023886680603
